,index,Unnamed: 0,business_city,business_state,business_street1,business_street2,business_zip,cik,firm_name,mailing_city,mailing_state,mailing_street1,mailing_street2,mailing_zip
1014,4392,4392,MONROE TOWNSHIP,NJ,28 ENGELHARD DRIVE,SUITE B,08831,1378140,"Ocean Power Technologies, Inc.",MONROE TOWNSHIP,NJ,28 ENGELHARD DRIVE,SUITE B,08831
1015,4394,4394,TAMPA,FL,4042 PARK OAKS BLVD,SUITE 350,33610,1721741,"Lazydays Holdings, Inc.",TAMPA,FL,4042 PARK OAKS BLVD,SUITE 350,33610
1016,4397,4397,TAMPA,FL,401 EAST JACKSON STREET,SUITE 3300,33602,1651721,"GENERATION INCOME PROPERTIES, INC.",TAMPA,FL,401 EAST JACKSON STREET,SUITE 3300,33602
1017,4402,4402,CHICAGO,IL,10 S. RIVERSIDE PLAZA,SUITE 1520,60606,1072627,KINGSWAY FINANCIAL SERVICES INC,CHICAGO,IL,10 S. RIVERSIDE PLAZA,SUITE 1520,60606
1018,4412,4412,DENVER,CO,1775 SHERMAN STREET,SUITE 3000,80203,77877,"PDC ENERGY, INC.",SUITE 3000,CO,"PDC ENERGY, INC.",1775 SHERMAN ST,80203
1019,4414,4414,ST. LOUIS,MO,1 NORTH BRENTWOOD BLVD,15TH FLOOR,63105,913142,BELDEN INC.,ST. LOUIS,MO,1 NORTH BRENTWOOD BLVD,15TH FLOOR,63105
1020,4422,4422,BENTON HARBOR,MI,WHIRLPOOL CNTR 2000 M 63,C/O CORPORATE SECRETARY,49022-2692,106640,WHIRLPOOL CORP /DE/,BENTON HARBOR,MI,WHIRLPOOL CTR 2000 M 63,C/O CORPORATE SECRETARY,49022-2692
1021,4432,4432,ATLANTA,GA,FIVE CONCOURSE PARKWAY,SUITE 2500,30328,1575051,Sisecam Resources LP,ATLANTA,GA,FIVE CONCOURSE PARKWAY,SUITE 2500,30328
1022,4437,4437,DENVER,CO,4610 SOUTH ULSTER STREET,SUITE 150,80237,1031029,"Startek, Inc.",DENVER,CO,4610 SOUTH ULSTER STREET,SUITE 150,80237
1023,4438,4438,HENDERSON,NV,2200 PASEO VERDE PARKWAY,SUITE 280,89052,1136174,"Ontrak, Inc.",HENDERSON,NV,2200 PASEO VERDE PARKWAY,SUITE 280,89052
1024,4439,4439,NEW YORK,NY,C/O CORVEX MANAGEMENT LP,667 MADISON AVENUE,10065,1837412,"SomaLogic, Inc.",NEW YORK,NY,C/O CORVEX MANAGEMENT LP,667 MADISON AVENUE,10065
1025,4440,4440,CHICAGO,IL,E. ANNA HA - WHQLD,233 SOUTH WACKER DRIVE,60606,100517,"United Airlines Holdings, Inc.",CHICAGO,IL,E. ANNA HA - WHQLD,233 SOUTH WACKER DRIVE,60606
1026,4443,4443,TAMPA,FL,205 S. HOOVER BLVD.,SUITE 210,33609,798528,ODYSSEY MARINE EXPLORATION INC,TAMPA,FL,205 S. HOOVER BLVD.,SUITE 210,33609
1027,4444,4444,NEW YORK,NY,1633 BROADWAY,38TH FLOOR,10019,1441816,"MongoDB, Inc.",NEW YORK,NY,1633 BROADWAY,38TH FLOOR,10019
1028,4445,4445,BATON ROUGE,LA,500 LAUREL STREET,SUITE 101,70801,1624322,"Business First Bancshares, Inc.",BATON ROUGE,LA,500 LAUREL STREET,SUITE 101,70801
1029,4453,4453,SAN FRANCISCO,CA,1 MONTGOMERY STREET,SUITE 1500,94104,1576942,"Stitch Fix, Inc.",SAN FRANCISCO,CA,1 MONTGOMERY STREET,SUITE 1500,94104
1030,4455,4455,NASHVILLE,TN,500 11TH AVENUE NORTH,SUITE 1000,37203,1095565,HEALTHSTREAM INC,NASHVILLE,TN,500 11TH AVENUE NORTH,SUITE 1000,37203
1031,4460,4460,LINCOLN,NE,2900 SOUTH 70TH STREET,SUITE 400,68506,355379,MIDWEST HOLDING INC.,LINCOLN,NE,2900 SOUTH 70TH STREET,SUITE 400,68506
1032,4462,4462,HOUSTON,TX,601 JEFFERSON STREET,SUITE 3400,77002,1357615,"KBR, INC.",HOUSTON,TX,601 JEFFERSON STREET,SUITE 3400,77002
1033,4466,4466,REDMOND,WA,23515 NE NOVELTY HILL ROAD,SUITE B221 #125,98053,1768446,"Eliem Therapeutics, Inc.",REDMOND,WA,23515 NE NOVELTY HILL ROAD,SUITE B221 #125,98053
1034,4473,4473,NEW YORK,NY,725 5TH AVE,23RD FLOOR,10022,1842729,Sandbridge X2 Corp,NEW YORK,NY,725 5TH AVE,23RD FLOOR,10022
1035,4474,4474,BOSTON,MA,500 BOYLSTON STREET,SUITE 1250,02116,1464963,"First Eagle Alternative Capital BDC, Inc.",BOSTON,MA,500 BOYLSTON STREET,SUITE 1250,02116
1036,4481,4481,DELRAY BEACH,FL,1615 SOUTH CONGRESS AVENUE,SUITE 103,33445,1505611,"DecisionPoint Systems, Inc.",DELRAY BEACH,FL,1615 SOUTH CONGRESS AVENUE,SUITE 103,33445
1037,4491,4491,PHOENIX,AZ,4646 E. VAN BUREN STREET,SUITE 400,85008,1647088,WillScot Mobile Mini Holdings Corp.,PHOENIX,AZ,4646 E. VAN BUREN STREET,SUITE 400,85008
1038,4496,4496,GREENWOOD VILLAGE,CO,8400 E. PRENTICE AVENUE,9TH FLOOR,80111,1618563,National Storage Affiliates Trust,GREENWOOD VILLAGE,CO,8400 E. PRENTICE AVENUE,9TH FLOOR,80111
1039,4497,4497,SUNNY ISLES BEACH,FL,"16690 COLLINS AVE,",PH-1,33160,813762,ICAHN ENTERPRISES L.P.,SUNNY ISLES BEACH,FL,"16690 COLLINS AVE,",PH-1,33160
1040,4499,4499,SOUTHLAKE,TX,535 SILICON DRIVE,SUITE 100,76092,1838163,DHC Acquisition Corp.,SOUTHLAKE,TX,535 SILICON DRIVE,SUITE 100,76092
1041,4505,4505,LITTLETON,CO,"7921 SOUTHPARK PLAZA,",SUITE 210,80120,1716166,"Vivos Therapeutics, Inc.",LITTLETON,CO,"7921 SOUTHPARK PLAZA,",SUITE 210,80120
1042,4511,4511,SAN DIEGO,CA,9710 SCRANTON ROAD,SUITE 200,92121,1022652,INSEEGO CORP.,SAN DIEGO,CA,9710 SCRANTON ROAD,SUITE 200,92121
1043,4512,4512,CRANFORD,NJ,11 COMMERCE DRIVE,1ST FLOOR,07016,1506251,"Citius Pharmaceuticals, Inc.",CRANFORD,NJ,11 COMMERCE DRIVE,1ST FLOOR,07016
1044,4516,4516,DALLAS,TX,14755 PRESTON ROAD,SUITE 105,75254,1089907,SWK Holdings Corp,DALLAS,TX,14755 PRESTON ROAD,SUITE 105,75254
1045,4518,4518,MADISON,WI,4902 NORTH BILTMORE LANE,SUITE 1000,53718-2148,352541,ALLIANT ENERGY CORP,MADISON,WI,4902 NORTH BILTMORE LANE,SUITE 1000,53718-2148
1046,4519,4519,NEWTOWN,PA,41 UNIVERSITY DRIVE,SUITE 202,18940,1352010,"EPAM Systems, Inc.",NEWTOWN,PA,41 UNIVERSITY DRIVE,SUITE 202,18940
1047,4521,4521,DOWNERS GROVE,IL,3500 LACEY ROAD,CUITE 700,60515,1383149,INVESCO DB US DOLLAR INDEX BEARISH FUND,DOWNERS GROVE,IL,3500 LACEY ROAD,CUITE 700,60515
1048,4525,4525,BOSTON,MA,60 STATE STREET,38TH FLOOR,02109,1108134,BERKSHIRE HILLS BANCORP INC,BOSTON,MA,60 STATE STREET,38TH FLOOR,02109
1049,4531,4531,DALLAS,TX,1603 LBJ FREEWAY,SUITE 800,75234,1102238,AMERICAN REALTY INVESTORS INC,DALLAS,TX,1603 LBJ FREEWAY,SUITE 800,75234
1050,4541,4541,WILMINGTON,DE,3 GERMAY DRIVE,UNIT 4 #1066,19804,1837344,Nocturne Acquisition Corp,WILMINGTON,DE,3 GERMAY DRIVE,UNIT 4 #1066,19804
1051,4544,4544,NEWARK,NJ,CORPORATE ACCOUNTING SERVICES,"80 PARK PLAZA, 9TH FLOOR",07102-4194,788784,PUBLIC SERVICE ENTERPRISE GROUP INC,NEWARK,NJ,CORPORATE ACCOUNTING SERVICES,"80 PARK PLAZA, 9TH FLOOR",07102-4194
1052,4546,4546,PITTSBURGH,PA,625 LIBERTY AVENUE,SUITE 1700,15222,33213,EQT Corp,PITTSBURGH,PA,625 LIBERTY AVENUE,SUITE 1700,15222
1053,4550,4550,WILLIAMSBURG,VA,306 SOUTH HENRY STREET,SUITE 100,23185,1301236,Sotherly Hotels Inc.,WILLIAMSBURG,VA,306 SOUTH HENRY STREET,SUITE 100,23185
1054,4558,4558,BROOKFIELD,CT,15 SECOR ROAD,PO BOX 5226,06804,810136,PHOTRONICS INC,BROOKFIELD,CT,15 SECOR ROAD,P O BOX 5226,06804
1055,4559,4559,NEW YORK,NY,9 WEST 57TH STREET,33RD FLOOR,10019,1849408,Zimmer Energy Transition Acquisition Corp.,NEW YORK,NY,9 WEST 57TH STREET,33RD FLOOR,10019
1056,4565,4565,KEY BISCAYNE,FL,55 OCEAN LANE DRIVE,APT. 3021,33149,1824211,Astrea Acquisition Corp.,KEY BISCAYNE,FL,55 OCEAN LANE DRIVE,APT. 3021,33149
1057,4568,4568,PORTLAND,OR,2321 NE ARGYLE STREET,UNIT D,97211,1534708,"Eastside Distilling, Inc.",PORTLAND,OR,2321 NE ARGYLE STREET,UNIT D,97211
1058,4569,4569,PLANO,TX,2805 DALLAS PARKWAY,SUITE 400,75093,1373670,"Green Brick Partners, Inc.",PLANO,TX,2805 DALLAS PARKWAY,SUITE 400,75093
1059,4570,4570,NAUGATUCK,CT,112 BRIDGE ST,P O BOX 460,06770,31107,EASTERN CO,NAUGATUCK,CT,112 BRIDGE STREET,P O BOX 460,06770
1060,4572,4572,FREEHOLD,NJ,"3499 ROUTE 9 N, SUITE 3-C",JUNIPER BUSINESS PLAZA,07728,752642,"UMH PROPERTIES, INC.",FREEHOLD,NJ,"3499 ROUTE 9 N, SUITE 3-C",JUNIPER BUSINESS PLAZA,07728
1061,4573,4573,SEATTLE,WA,520 PIKE STREET,SUITE 2000,98101,1224133,MARCHEX INC,SEATTLE,WA,520 PIKE STREET,SUITE 2000,98101
1062,4581,4581,CRYSTAL LAKE,IL,265 EXCHANGE DRIVE,SUITE 301,60014,896622,"APTARGROUP, INC.",CRYSTAL LAKE,IL,265 EXCHANGE DRIVE,SUITE 301,60014
1063,4612,4612,AUSTIN,TX,7171 SOUTHWEST PARKWAY,"BUILDING 300, SUITE 200",78735,1489096,"Thermon Group Holdings, Inc.",AUSTIN,TX,7171 SOUTHWEST PARKWAY,"BUILDING 300, SUITE 200",78735
1064,4618,4618,CHICAGO,IL,300 S. RIVERSIDE PLAZA,SUITE 1000,60606,1683606,Cars.com Inc.,CHICAGO,IL,300 S. RIVERSIDE PLAZA,SUITE 1000,60606
1065,4621,4621,HIGH POINT,NC,3980 PREMIER DR,SUITE 310,27265,1641489,vTv Therapeutics Inc.,HIGH POINT,NC,3980 PREMIER DR,SUITE 310,27265
1066,4623,4623,BENSALEM,PA,3220 TILLMAN DRIVE,SUITE 300,19020,731012,HEALTHCARE SERVICES GROUP INC,BENSALEM,PA,3220 TILLMAN DRIVE,SUITE 300,19020
1067,4631,4631,LOUISVILLE,KY,13100 MAGISTERIAL DRIVE,SUITE 100,40223,1356093,"CREATIVE REALITIES, INC.",LOUISVILLE,KY,13100 MAGISTERIAL DRIVE,SUITE 100,40223
1068,4634,4634,DALLAS,TX,5430 LBJ FREEWAY,SUITE 1700,75240-2620,72162,NL INDUSTRIES INC,DALLAS,TX,5430 LBJ FREEWAY,SUITE 1700,75240-2620
1070,4639,4639,CINCINNATI,OH,255 EAST FIFTH STREET,SUITE 800,45202,708955,FIRST FINANCIAL BANCORP /OH/,CINCINNATI,OH,255 EAST FIFTH STREET,SUITE 800,45202
1071,4640,4640,NEW YORK,NY,650 FIFTH AVE,30TH FLOOR,10019,1568162,"Necessity Retail REIT, Inc.",NEW YORK,NY,650 FIFTH AVE,30TH FLOOR,10019
1072,4642,4642,NEW YORK,NY,"AMERICAS TOWER, 1177 AVENUE OF THE AMERI",SUITE 5100,10036,1066923,Future FinTech Group Inc.,NEW YORK,NY,"AMERICAS TOWER, 1177 AVENUE OF THE AMERI",SUITE 5100,10036
1073,4643,4643,HOUSTON,TX,15915 KATY FREEWAY,SUITE 450,77094,1309082,"CAMBER ENERGY, INC.",HOUSTON,TX,15915 KATY FREEWAY,SUITE 450,77094
1074,4654,4654,MORRISVILLE,NC,3000 RDU CENTER DRIVE,SUITE 200,27560,1566469,"NantHealth, Inc.",MORRISVILLE,NC,3000 RDU CENTER DRIVE,SUITE 200,27560
1075,4672,4672,HOUSTON,TX,9805 KATY FWY,SUITE G-200,77024,717423,MURPHY OIL CORP,HOUSTON,TX,9805 KATY FWY,SUITE G-200,77024
1076,4677,4677,LOS ANGELES,CA,915 WILSHIRE AVE,SUITE# 1950,90071,1713832,HyreCar Inc.,LOS ANGELES,CA,915 WILSHIRE AVE,SUITE# 1950,90071
1077,4678,4678,NEW YORK,NY,225 VARICK STREET,SUITE 301,10014,1620533,Shake Shack Inc.,NEW YORK,NY,225 VARICK STREET,SUITE 301,10014
1078,4679,4679,NEW YORK,NY,600 THIRD AVENUE,39TH FLOOR,10016,1679049,"International Seaways, Inc.",NEW YORK,NY,600 THIRD AVENUE,39TH FLOOR,10016
1079,4681,4681,SOUTH SAN FRANCISCO,CA,2 TOWER PLACE,SUITE 2000,94080,1162194,STANDARD BIOTOOLS INC.,SOUTH SAN FRANCISCO,CA,2 TOWER PLACE,SUITE 2000,94080
1080,4685,4685,SAN DIEGO,CA,4980 CARROLL CANYON ROAD,SUITE 100,92121,1628945,Cue Health Inc.,SAN DIEGO,CA,4980 CARROLL CANYON ROAD,SUITE 100,92121
1081,4686,4686,CHESTERBROOK,PA,955 CHESTERBROOK BOULEVARD,SUITE 110,19087,1429560,TREVENA INC,CHESTERBROOK,PA,955 CHESTERBROOK BOULEVARD,SUITE 110,19087
1082,4694,4694,NASHVILLE,TN,1610 WEST END AVE.,SUITE 200,37203,60519,LOUISIANA-PACIFIC CORP,NASHVILLE,TN,1610 WEST END AVE.,SUITE 200,37203
1083,4698,4698,TAMPA,FL,1001 EAST PALM AVENUE,SUITE,33605,930420,KFORCE INC,TAMPA,FL,1001 EAST PALM AVENUE,SUITE,33605
1084,4700,4700,CONIFER,CO,25587 CONIFER ROAD,SUITE 105-231,80433,746210,"Oblong, Inc.",CONIFER,CO,25587 CONIFER ROAD,SUITE 105-231,80433
1085,4704,4704,NEWPORT BEACH,CA,660 NEWPORT CENTER DRIVE,SUITE 300,92660,1721386,Landsea Homes Corp,NEWPORT BEACH,CA,660 NEWPORT CENTER DRIVE,SUITE 300,92660
1086,4705,4705,HOUSTON,TX,9811 KATY FREEWAY,SUITE 1200,77024,1372020,Great Lakes Dredge & Dock CORP,HOUSTON,TX,9811 KATY FREEWAY,SUITE 1200,77024
1087,4709,4709,FRISCO,TX,5300 TOWN AND COUNTRY BLVD,STE 500,75034,23194,COMSTOCK RESOURCES INC,FRISCO,TX,5300 TOWN AND COUNTRY BLVD,STE 500,75034
1088,4714,4714,MEDFORD,MA,200 BOSTON AVENUE,SUITE 3100,02155,1822691,"GreenLight Biosciences Holdings, PBC",MEDFORD,MA,200 BOSTON AVENUE,SUITE 3100,02155
1089,4715,4715,KNOXVILLE,TN,5401 KINGSTON PIKE,SUITE 600,37919,1038773,SMARTFINANCIAL INC.,KNOXVILLE,TN,5401 KINGSTON PIKE,SUITE 600,37919
1090,4717,4717,ST PETERSBURG,FL,700 CENTRAL AVENUE,SUITE 102,33701,1649739,BayFirst Financial Corp.,ST PETERSBURG,FL,700 CENTRAL AVENUE,SUITE 102,33701
1091,4718,4718,SOUTH SAN FRANCISCO,CA,331 OYSTER POINT BLVD.,FOURTH FLOOR,94080,1426800,"ASSEMBLY BIOSCIENCES, INC.",SOUTH SAN FRANCISCO,CA,331 OYSTER POINT BLVD.,FOURTH FLOOR,94080
1092,4731,4731,BOCA RATON,FL,777 YAMATO ROAD,SUITE 502,33431,1604191,"First Wave BioPharma, Inc.",BOCA RATON,FL,777 YAMATO ROAD,SUITE 502,33431
1093,4738,4738,NEW YORK,NY,1271 AVE OF THE AMERICAS,FL 37,10020-1304,5272,"AMERICAN INTERNATIONAL GROUP, INC.",NEW YORK,NY,1271 AVE OF THE AMERICAS,FL 37,10020-1304
1094,4740,4740,HOUSTON,TX,2100 WEST LOOP SOUTH,SUITE 900,77027,1729427,"CNS Pharmaceuticals, Inc.",HOUSTON,TX,2100 WEST LOOP SOUTH,SUITE 900,77027
1095,4741,4741,CHICAGO,IL,TWO NORTH RIVERSIDE PLAZA,SUITE 2100,60606,803649,Equity Commonwealth,CHICAGO,IL,TWO NORTH RIVERSIDE PLAZA,SUITE 2100,60606
1096,4743,4743,OMAHA,NE,18135 BURKE STREET,SUITE 100,68022,836157,LINDSAY CORP,OMAHA,NE,18135 BURKE STREET,SUITE 100,68022
1097,4747,4747,CHATTANOOGA,TN,"2030 HAMILTON PLACE BVLD, SUITE 500",CBL CENTER,37421,910612,CBL & ASSOCIATES PROPERTIES INC,CHATTANOOGA,TN,"2030 HAMILTON PLACE BVLD, SUITE 500",CBL CENTER,37421
1098,4754,4754,DENVER,CO,950 17TH STREET,SUITE 2400,80202,1694028,Liberty Energy Inc.,DENVER,CO,950 17TH STREET,SUITE 2400,80202
1099,4755,4755,SEATTLE,WA,2401 4TH AVE.,SUITE 1050,98121,1671584,Aptevo Therapeutics Inc.,SEATTLE,WA,2401 4TH AVE.,SUITE 1050,98121
1100,4761,4761,PARAMUS,NJ,650 FROM ROAD,SUITE 375,07652,72573,MOVADO GROUP INC,PARAMUS,NJ,650 FROM ROAD,SUITE 375,07652
1101,4766,4766,DOWNERS GROVE,IL,3500 LACEY ROAD,SUITE 700,60515,1383062,Invesco DB Energy Fund,DOWNERS GROVE,IL,3500 LACEY ROAD,SUITE 700,60515
1102,4770,4770,NEW YORK,NY,601 LEXINGTON AVENUE,17TH FLOOR,10022,1849737,Patria Latin American Opportunity Acquisition Corp.,NEW YORK,NY,601 LEXINGTON AVENUE,17TH FLOOR,10022
1103,4781,4781,NEW WINDSOR,DE,2709 N ROLLING RD,UNIT 138 NEW WINDSOR,21244,1674440,Connexa Sports Technologies Inc.,NEW WINDSOR,DE,2709 N ROLLING RD,UNIT 138 NEW WINDSOR,21244
1104,4783,4783,WILMINGTON,DE,C/O THE CORPORATION TRUST COMPANY,1209 ORANGE STREET,19801,1679788,"Coinbase Global, Inc.",WILMINGTON,DE,C/O THE CORPORATION TRUST COMPANY,1209 ORANGE STREET,19801
1105,4784,4784,FORT LAUDERDALE,FL,819 NE 2ND AVENUE,SUITE 300,33304,1851612,Crixus BH3 Acquisition Co,FORT LAUDERDALE,FL,819 NE 2ND AVENUE,SUITE 300,33304
1106,4788,4788,ATLANTA,GA,255 EAST PACES FERRY ROAD NE,SUITE 700,30305,1816233,"Sharecare, Inc.",ATLANTA,GA,255 EAST PACES FERRY ROAD NE,SUITE 700,30305
1107,4790,4790,WASHINGTON,DC,"4301 50TH STREET, N.W.","SUITE 300, PMB 1044",20007,1838361,"Supernova Partners Acquisition Co III, Ltd.",WASHINGTON,DC,"4301 50TH STREET, N.W.","SUITE 300, PMB 1044",20007
1108,4796,4796,NEW YORK,NY,C/O GRAUBARD MILLER,405 LEXINGTON AVENUE,10174,1835800,Pivotal Investment Corp III,NEW YORK,NY,C/O GRAUBARD MILLER,405 LEXINGTON AVENUE,10174
1109,4797,4797,OOLTEWAH,TN,8503 HILLTOP DR,STE 100,37363,924822,MILLER INDUSTRIES INC /TN/,OOLTEWAH,TN,8503 HILLTOP DR,STE 100,37363
1110,4815,4815,SCOTTSDALE,AZ,6900 E. CAMELBACK ROAD,SUITE 240,85251,1777319,CERBERUS CYBER SENTINEL CORP,SCOTTSDALE,AZ,6900 E. CAMELBACK ROAD,SUITE 240,85251
1112,4817,4817,CAMBRIDGE,MA,201 BROADWAY,SUITE 310,02139,1799850,"Renovacor, Inc.",CAMBRIDGE,MA,201 BROADWAY,SUITE 310,02139
1113,4822,4822,TIGARD,OR,13190 SW 68TH PARKWAY,SUITE 110,97223,1614806,Great Ajax Corp.,TIGARD,OR,13190 SW 68TH PARKWAY,SUITE 110,97223
1114,4823,4823,SEATTLE,WA,605 5TH AVENUE S.,SUITE 400,98104,1898496,"Getty Images Holdings, Inc.",SEATTLE,WA,605 5TH AVENUE S.,SUITE 400,98104
1115,4824,4824,HOUSTON,TX,920 MEMORIAL CITY WAY,SUITE 850,77024,351817,"SILVERBOW RESOURCES, INC.",HOUSTON,TX,920 MEMORIAL CITY WAY,SUITE 850,77024
1116,4827,4827,HOLLYWOOD,FL,200 SOUTH PARK ROAD,SUITE 350,33021,1532961,"NV5 Global, Inc.",HOLLYWOOD,FL,200 SOUTH PARK ROAD,SUITE 350,33021
1117,4835,4835,LOS ANGELES,CA,700 S. FLOWER STREET,LEGAL DEPT - 15TH FLOOR,90017,1866633,"Consensus Cloud Solutions, Inc.",LOS ANGELES,CA,700 S. FLOWER STREET,LEGAL DEPT - 15TH FLOOR,90017
1119,4841,4841,NEW YORK,NY,1333 BROADWAY,10TH FLOOR,10018,1083220,"XCel Brands, Inc.",NEW YORK,NY,1333 BROADWAY,10TH FLOOR,10018
1120,4848,4848,PHILADELPHIA,PA,TWO LOGAN SQUARE,"100 N. 18TH STREET, SUITE 300",19103,1824293,"Vallon Pharmaceuticals, Inc.",PHILADELPHIA,PA,TWO LOGAN SQUARE,"100 N. 18TH STREET, SUITE 300",19103
1121,4852,4852,BOSTON,MA,401 PARK DRIVE,SUITE 801,02215,1650164,"Toast, Inc.",BOSTON,MA,401 PARK DRIVE,SUITE 801,02215
1122,4853,4853,SAN MATEO,CA,2950 S. DELAWARE ST.,SUITE 201,94403,1544522,Freshworks Inc.,SAN MATEO,CA,2950 S. DELAWARE ST.,SUITE 201,94403
1123,4855,4855,THE WOODLANDS,TX,9950 WOODLOCH FOREST DR.,SUITE 1100,77380,1498828,Howard Hughes Corp,THE WOODLANDS,TX,9950 WOODLOCH FOREST DR.,SUITE 1100,77380
1124,4858,4858,BOSTON,MA,ONE FEDERAL STREET,23RD FLOOR,02110,1479094,"STAG Industrial, Inc.",BOSTON,MA,ONE FEDERAL STREET,23RD FLOOR,02110
1125,4859,4859,DOWNERS GROVE,IL,C/O INVESCO SPECIALIZED PRODUCTS,"3500 LACEY ROAD, SUITE 700",60515,1353614,Invesco CurrencyShares Australian Dollar Trust,DOWNERS GROVE,IL,C/O INVESCO SPECIALIZED PRODUCTS,"3500 LACEY ROAD, SUITE 700",60515
1126,4863,4863,ATLANTA,GA,PHIPPS TOWER,3438 PEACHTREE ROAD NE SUITE 1800,30326,1060822,CARTERS INC,ATLANTA,GA,PHIPPS TOWER,3438 PEACHTREE ROAD NE SUITE 1800,30326
1127,4865,4865,NEW YORK,NY,250 WEST 34TH STREET,3RD FLOOR,10119,880631,"WisdomTree Investments, Inc.",NEW YORK,NY,250 WEST 34TH STREET,3RD FLOOR,10119
1128,4869,4869,MIDLAND,TX,500 WEST TEXAS AVENUE,SUITE 1200,79701,1748773,RATTLER MIDSTREAM LP,MIDLAND,TX,500 WEST TEXAS AVENUE,SUITE 1200,79701
1129,4879,4879,HOUSTON,TX,5444 WESTHEIMER ROAD,SUITE 1650,77056,1108967,"Orbital Infrastructure Group, Inc.",HOUSTON,TX,5444 WESTHEIMER ROAD,SUITE 1650,77056
1130,4883,4883,INDIANAPOLIS,IN,6325 DIGITAL WAY,SUITE 460,46278,1652362,"Infrastructure & Energy Alternatives, Inc.",INDIANAPOLIS,IN,6325 DIGITAL WAY,SUITE 460,46278
1131,4887,4887,PRINCETON,NJ,300 CARNEGIE CENTER,SUITE 150,08540,1835713,Climate Real Impact Solutions II Acquisition Corp,PRINCETON,NJ,300 CARNEGIE CENTER,SUITE 150,08540
1132,4889,4889,NEW YORK,NY,244 FIFTH AVENUE,SUITE M289,10001,1173204,Cinedigm Corp.,NEW YORK,NY,244 FIFTH AVENUE,SUITE M289,10001
1133,4890,4890,CHICAGO,IL,141 W. JACKSON BLVD,SUITE 4236,60604,1474167,Cosmos Holdings Inc.,CHICAGO,IL,141 W. JACKSON BLVD,SUITE 4236,60604
1134,4891,4891,ATLANTA,GA,3284 NORTHSIDE PARKWAY NW,SUITE 150,30327,1481832,PREFERRED APARTMENT COMMUNITIES INC,ATLANTA,GA,3284 NORTHSIDE PARKWAY NW,SUITE 150,30327
1135,4892,4892,WEST PALM BEACH,FL,700 S. ROSEMARY AVENUE,SUITE 204,33401,1817232,Dune Acquisition Corp,WEST PALM BEACH,FL,700 S. ROSEMARY AVENUE,SUITE 204,33401
1136,4896,4896,NEW YORK,NY,155 AVENUE OF THE AMERICAS,SIXTH FLOOR,10013,1563190,"Compass, Inc.",NEW YORK,NY,155 AVENUE OF THE AMERICAS,SIXTH FLOOR,10013
1137,4901,4901,MIAMI,FL,1951 NW 7TH AVENUE,SUITE 520,33136,1721484,Longeveron Inc.,MIAMI,FL,1951 NW 7TH AVENUE,SUITE 520,33136
1138,4904,4904,GAITHERSBURG,MD,910 CLOPPER ROAD,SUITE 201S,20878,1326190,"Altimmune, Inc.",GAITHERSBURG,MD,910 CLOPPER ROAD,SUITE 201S,20878
1139,4905,4905,DENVER,CO,1555 BLAKE STREET,SUITE 250,80202,1321655,Palantir Technologies Inc.,DENVER,CO,1555 BLAKE STREET,SUITE 250,80202
1140,4910,4910,DALLAS,TX,2828 N. HARWOOD,SUITE 1300,75201,1283140,HOLLY ENERGY PARTNERS LP,DALLAS,TX,2828 N. HARWOOD,SUITE 1300,75201
1141,4915,4915,MECHANICSBURG,PA,C/O SELECT MEDICAL CORP,4714 GETTYSBURG RD,17055,1320414,SELECT MEDICAL HOLDINGS CORP,MECHANICSBURG,PA,C/O SELECT MEDICAL CORP,4714 GETTYSBURG RD,17055
1142,4919,4919,CHICAGO,IL,167 N. GREEN STREET,9TH FLOOR,60607,1818201,CCC Intelligent Solutions Holdings Inc.,CHICAGO,IL,167 N. GREEN STREET,9TH FLOOR,60607
1143,4922,4922,MORRISVILLE,VT,P O BOX 667,20 MAIN STREET,05661-0667,706863,UNION BANKSHARES INC,MORRISVILLE,VT,P O BOX 667,20 MAIN STREET,05661-0667
1144,4926,4926,FRISCO,TX,6303 COWBOYS WAY,SUITE 600,75034,1468328,Addus HomeCare Corp,FRISCO,TX,6303 COWBOYS WAY,SUITE 600,75034
1145,4927,4927,MT. OLIVE,NJ,350 CLARK DRIVE,SUITE 125,07828,1565228,"Vislink Technologies, Inc.",MT. OLIVE,NJ,350 CLARK DRIVE,SUITE 125,07828
1146,4929,4929,SAN FRANCISCO,CA,499 ILLINOIS STREET,SUITE 500,94158,1706431,"Vir Biotechnology, Inc.",SAN FRANCISCO,CA,499 ILLINOIS STREET,SUITE 500,94158
1147,4931,4931,WOODBRIDGE,NJ,581 MAIN STREET,SUITE 810,07095,1493225,"Northfield Bancorp, Inc.",WOODBRIDGE,NJ,581 MAIN STREET,SUITE 810,07095
1148,4937,4937,WEST HENRIETTA,NY,25 HENDRIX ROAD,SUITE A,14586,1463972,Vuzix Corp,WEST HENRIETTA,NY,25 HENDRIX ROAD,SUITE A,14586
1150,4941,4941,STAMFORD,CT,100 FIRST STAMFORD PLACE,SUITE 330,06902,1845368,HCM Acquisition Corp,STAMFORD,CT,100 FIRST STAMFORD PLACE,SUITE 330,06902
1152,4946,4946,CORAL GABLES,FL,"241 SEVILLA AVENUE, 12TH FLOOR",C/O DEL MONTE FRESH PRODUCE CO,33134,1047340,FRESH DEL MONTE PRODUCE INC,CORAL GABLES,FL,C/O DEL MONTE FRESH PRODUCE COMPANY,"241 SEVILLA AVENUE, 12TH FLOOR",33134
