,business_city,business_state,business_street1,business_street2,business_zip,cik,firm_name,mailing_city,mailing_state,mailing_street1,mailing_street2,mailing_zip
5839,SCOTTSDALE,AZ,"15333 N PIMA ROAD, SUITE 305",,85260,0001571636,NanoFlex Power Corp,SCOTTSDALE,AZ,PO BOX 12998,,85267
5840,NEW YORK,NY,630 FIFTH AVENUE,SUITE 820,10111,0000018748,CENTRAL SECURITIES CORP,NEW YORK,NY,630 FIFTH AVENUE,SUITE 820,10111
5841,GAITHERSBURG,MD,620 PROFESSIONAL DRIVE,,20879,0001829802,"Sensei Biotherapeutics, Inc.",GAITHERSBURG,MD,620 PROFESSIONAL DRIVE,,20879
5842,ISELIN,NJ,485C ROUTE 1 SOUTH,SUITE 400,08830,0000066004,MIDDLESEX WATER CO,ISELIN,NJ,485C ROUTE 1 SOUTH,SUITE 400,08830
5843,WESLEY CHAPEL,FL,5700 SADDLEBROOK WAY,,33543-4499,0000313151,SADDLEBROOK RESORTS INC,WESLEY CHAPEL,FL,5700 SADDLEBROOK WAY,,33543-4499
5844,TAMPA,FL,4211 W. BOY SCOUT BLVD.,SUITE 800,33607,0001781755,"BRP Group, Inc.",TAMPA,FL,4211 W. BOY SCOUT BLVD.,SUITE 800,33607
5845,JACKSONVILLE,FL,14701 PHILIPS HIGHWAY,SUITE 300,32256,0001825088,"Dream Finders Homes, Inc.",JACKSONVILLE,FL,14701 PHILIPS HIGHWAY,SUITE 300,32256
5846,ALHAMBRA,CA,1668 S. GARFIELD AVENUE,2ND FLOOR,91801,0001083446,"Apollo Medical Holdings, Inc.",ALHAMBRA,CA,1668 S. GARFIELD AVENUE,2ND FLOOR,91801
5847,VANCOUVER,A1,"814, 675 WEST HASTINGS STREET",,V6B 1N2,0001700157,Group Ten Metals Inc,VANCOUVER,A1,"814, 675 WEST HASTINGS STREET",,V6B 1N2
5848,FRISCO,TX,5 COWBOYS WAY,SUITE 300,75034,0001490054,"VERDE BIO HOLDINGS, INC.",FRISCO,TX,5 COWBOYS WAY,SUITE 300,75034
5849,SARASOTA,FL,2641 49TH STREET,,34234,0001374881,Kingfish Holding Corp,SARASOTA,FL,2641 49TH STREET,,34234
5850,PHILADELPHIA,PA,2929 ARCH STREET,SUITE 600,19104,0001759138,"Cabaletta Bio, Inc.",PHILADELPHIA,PA,2929 ARCH STREET,SUITE 600,19104
5851,"LOS ANGELES,",CA,"117 WEST 9TH STREET,","SUITE 1214,",90015,0001375793,"Metalert, Inc.","LOS ANGELES,",CA,"117 WEST 9TH STREET,","SUITE 1214,",90015
5852,MENLO PARK,CA,2735 SAND HILL ROAD,SUITE 110,94025,0001825437,LIGHTJUMP ACQUISITION CORP,MENLO PARK,CA,2735 SAND HILL ROAD,SUITE 110,94025
5853,AVENTURA,FL,2999 N. E. 191ST STREET,SUITE 610,33180,0001058811,IMMERSION CORP,AVENTURA,FL,2999 N. E. 191ST STREET,SUITE 610,33180
5854,STAMFORD,CT,300 MAIN ST.,,06901,0001834226,Oyster Enterprises Acquisition Corp.,STAMFORD,CT,300 MAIN ST.,,06901
5855,BATON ROUGE,LA,10500 COURSEY BLVD,THIRD FLOOR,70816,0001602658,Investar Holding Corp,BATON ROUGE,LA,10500 COURSEY BLVD,THIRD FLOOR,70816
5856,BOSTON,MA,99 HIGH STREET,26TH FLOOR,02110,0001771917,"Karuna Therapeutics, Inc.",BOSTON,MA,99 HIGH STREET,26TH FLOOR,02110
5857,PLANO,TX,5964 CAMPUS COURT,,75093,0001599117,"Mentor Capital, Inc.",PLANO,TX,5964 CAMPUS COURT,,75093
5858,BRISBANE,CA,8000 MARINA BLVD,4TH FLOOR,94005,0001217234,"CareDx, Inc.",BRISBANE,CA,8000 MARINA BLVD,4TH FLOOR,94005
5859,MIAMI BEACH,FL,1680 MICHIGAN AVE,STE700-252,33139,0001499275,SANTO MINING CORP.,MIAMI BEACH,FL,1680 MICHIGAN AVE,STE700-252,33139
5860,NEW TERRITORIES HONG KONG,F4,"21/F, 8 FUI YIU KOK STREET",TSUEN WAN,00000,0001412095,"Troops, Inc. /Cayman Islands/",NEW TERRITORIES HONG KONG,F4,"21/F, 8 FUI YIU KOK STREET",TSUEN WAN,00000
5861,CALGARY,A0,SUITE 2000,585-8TH AVENUE SW,T2P 1G1,0001545851,Crescent Point Energy Corp.,CALGARY,A0,SUITE 2000,585-8TH AVENUE SW,T2P 1G1
5862,NEW TERRITORIES,K3,"WORKSHOP A, 8/F, REASON GROUP TOWER","403 CASTLE PEAK ROAD, KWAI CHUNG",00000,0001908705,Global Engine Group Holding Ltd,NEW TERRITORIES,K3,"WORKSHOP A, 8/F, REASON GROUP TOWER","403 CASTLE PEAK ROAD, KWAI CHUNG",00000
5863,LAKEWOOD,CO,PO BOX 140271,,80214,0001837774,Global Innovative Platforms Inc.,LAKEWOOD,CO,PO BOX 140271,,80214
5864,NEW YORK,NY,"C/O AXONIC CAPITAL, LLC","520 MADISON AVENUE, 42ND FLOOR",10022,0001754927,Axonic Alternative Income Fund,NEW YORK,NY,"C/O AXONIC CAPITAL, LLC","520 MADISON AVENUE, 42ND FLOOR",10022
5865,BEIJING,F4,"EAST FLOOR 5, BUILDING NO. 8",XISHANHUI SHIJINGSHAN DISTRICT,100041,0001811216,Baosheng Media Group Holdings Ltd,BEIJING,F4,"EAST FLOOR 5, BUILDING NO. 8",XISHANHUI SHIJINGSHAN DISTRICT,100041
5866,LOS ANGELES,CA,1265 SOUTH COCHRAN AVENUE,,90019,0001841408,Dave Inc./DE,LOS ANGELES,CA,1265 SOUTH COCHRAN AVENUE,,90019
5867,"SOUTH VARRA, VIC",C3,"UNIT 2205, 18 YARRA ST.",,3141,0001532595,Sincerity Applied Materials Holdings Corp.,"SOUTH VARRA, VIC",C3,"UNIT 2205, 18 YARRA ST.",,3141
5868,REDWOOD CITY,CA,200 PENOBSCOT DRIVE,,94063,0001200375,"CODEXIS, INC.",REDWOOD CITY,CA,200 PENOBSCOT DRIVE,,94063
5869,NEW YORK,NY,200 WEST STREET,,10282,0001612875,GOLDMAN SACHS MLP & ENERGY RENAISSANCE FUND,NEW YORK,NY,200 WEST STREET,,10282
5870,PLANO,TX,"500 N. CENTRAL EXPRESSWAY, SUITE 202",,75074,0000845819,"KonaTel, Inc.",PLANO,TX,"500 N. CENTRAL EXPRESSWAY, SUITE 202",,75074
5871,NEW YORK,NY,9 WEST 57TH STREET,43RD FLOOR,10019,0001502573,Apollo Senior Floating Rate Fund Inc.,NEW YORK,NY,9 WEST 57TH STREET,43RD FLOOR,10019
5872,NEW YORK CITY,NY,"43 W. 23RD STREET, 2ND FLOOR",,10110,0001648365,"TINGO, INC.",NEW YORK CITY,NY,"43 W. 23RD STREET, 2ND FLOOR",,10110
5873,THORNTON,CO,500 E. 84TH AVENUE,SUITE A-5,80229,0001703956,"Concrete Pumping Holdings, Inc.",THORNTON,CO,500 E. 84TH AVENUE,SUITE A-5,80229
5874,DALLAS,TX,C/O REED SMITH LLP,"2850 N. HARWOOD STREET, SUITE 1500",75201,0001899770,"NAAC Holdco, Inc.",DALLAS,TX,C/O REED SMITH LLP,"2850 N. HARWOOD STREET, SUITE 1500",75201
5875,ONTARIO,CA,2311 EAST LOCUST STREET,,91761,0001590418,FOCUS UNIVERSAL INC.,ONTARIO,CA,2311 EAST LOCUST STREET,,91761
5876,STAMFORD,CT,290 HARBOR DRIVE,4TH FLOOR,06902,0001705181,Grayscale Ethereum Classic Trust (ETC),STAMFORD,CT,290 HARBOR DRIVE,4TH FLOOR,06902
5877,CHARLOTTE,NC,4201 CONGRESS STREET,SUITE 175,28209,0000946454,"BALLANTYNE STRONG, INC.",CHARLOTTE,NC,4201 CONGRESS STREET,SUITE 175,28209
5878,EL SEGUNDO,CA,400 CONTINENTAL BLVD,SUITE 400,90245,0001826889,"Beachbody Company, Inc.",EL SEGUNDO,CA,400 CONTINENTAL BLVD,SUITE 400,90245
5879,MARIETTA,NY,1926 RAND RIDGE COURT,,30062,0001846288,Global Consumer Acquisition Corp,MARIETTA,NY,1926 RAND RIDGE COURT,,30062
5880,WILMINGTON,DE,100 BELLEVUE PARKWAY,MUTUAL FUND DEPARTMENT,19809,0001160864,BLACKROCK CORE BOND TRUST,WILMINGTON,DE,100 BELLEVUE PARKWAY,MUTUAL FUND DEPARTMENT,19809
5881,ST. GALLEN,V8,FELDLISTRASSE 2,,CH-9000,0001836470,Sportradar Group AG,ST. GALLEN,V8,FELDLISTRASSE 2,,CH-9000
5882,BEIJING,F4,"6/F, NO. 1 ANDINGMENWAI STREET","LITCHI TOWER, CHAOYANG DISTRICT",100011,0001592560,"Tarena International, Inc.",BEIJING,F4,"6/F, NO. 1 ANDINGMENWAI STREET","LITCHI TOWER, CHAOYANG DISTRICT",100011
5883,CHEYENNE,WY,1740H DEL RANGE BLVD,SUITE 166,82009,0000894556,"General Enterprise Ventures, Inc.",CHEYENNE,WY,1740H DEL RANGE BLVD,SUITE 166,82009
5884,MINNEAPOLIS,MN,3701 WAYZATA BLVD,SUITE 500,55416,0000716643,REGIS CORP,MINNEAPOLIS,MN,3701 WAYZATA BLVD,SUITE 500,55416
5885,LEXINGTON,MA,128 SPRING STREET,"BUILDING C, SUITE 500",02421,0001108205,CURIS INC,LEXINGTON,MA,128 SPRING STREET,"BUILDING C, SUITE 500",02421
5886,DEERFIELD,IL,ONE BAXTER PKWY,DF2-1W,60015,0000010456,BAXTER INTERNATIONAL INC,DEERFIELD,IL,ONE BAXTER PARKWAY,DF2-1W,60015
5887,SAN DIEGO,CA,10850 VIA FRONTERA,,92127,0001826470,"Petco Health & Wellness Company, Inc.",SAN DIEGO,CA,10850 VIA FRONTERA,,92127
5888,DALLAS,TX,17950 PRESTON RD,SUITE 600,75252,0000908311,Creative Media & Community Trust Corp,DALLAS,TX,17950 PRESTON RD,SUITE 600,75252
5889,NEW YORK,NY,399 PARK AVE.,,10022,0001847499,Atlas Crest Investment Corp. III,NEW YORK,NY,399 PARK AVE.,,10022
5890,ASHBURN,VA,20408 BASHAN DRIVE,SUITE 231,20147,0001688568,DXC Technology Co,ASHBURN,VA,20408 BASHAN DRIVE,SUITE 231,20147
5891,NEWARK,CA,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,94560,0001032975,LOGITECH INTERNATIONAL S.A.,NEWARK,CA,7700 GATEWAY BOULEVARD,,94560
5892,PARSIPPANY,NJ,1 SYLVAN WAY,,07054,0001534504,PBF Energy Inc.,PARSIPPANY,NJ,1 SYLVAN WAY,,07054
5893,CINCINNATI,OH,6581 HARRISON AVENUE,,45247,0001787005,"Cincinnati Bancorp, Inc.",CINCINNATI,OH,6581 HARRISON AVENUE,,45247
5894,BURR RIDGE,IL,140 TOWER DRIVE,,60527,0001698991,"Accel Entertainment, Inc.",BURR RIDGE,IL,140 TOWER DRIVE,,60527
5895,IONE,CA,8631 STATE HIGHWAY 124,P.O. BOX 757,95640,0001575858,PureBase Corp,IONE,CA,8631 STATE HIGHWAY 124,P.O. BOX 757,95640
5896,TAIPEI,F5,"11F, BUILDING C, NO.225, SEC. 2","CHANG'AN E. RD., SONGSHAN DIST.",105,0001886190,Gogoro Inc.,TAIPEI,F5,"11F, BUILDING C, NO.225, SEC. 2","CHANG'AN E. RD., SONGSHAN DIST.",105
5897,XI'AN,F4,"SUITE 907, SAIGAO CITY PLAZA BUILDING 2","NO. 170, WEIYANG ROAD",0000,0001171326,ENTREPRENEUR UNIVERSE BRIGHT GROUP,XI'AN,F4,"SUITE 907, SAIGAO CITY PLAZA BUILDING 2","NO. 170, WEIYANG ROAD",0000
5898,WEST PALM BEACH,FL,222 LAKEVIEW AVENUE,SUITE 200,33401,0001476045,Chatham Lodging Trust,WEST PALM BEACH,FL,222 LAKEVIEW AVENUE,SUITE 200,33401
5899,WOKINGHAM,X0,1020 ESKDALE ROAD,WINNERSH TRIANGLE,RG41 5TS,0001832433,Ferguson plc,WOKINGHAM,X0,1020 ESKDALE ROAD,WINNERSH TRIANGLE,RG41 5TS
5900,MINNEAPOLIS,MN,400 SOUTH 4TH STREET,SUITE 401-412,55415,0000892482,Qumu Corp,MINNEAPOLIS,MN,400 SOUTH 4TH STREET,SUITE 401-412,55415
5901,DENVER,CO,1325 S. COLORADO BLVD.,"BUILDING A, SUITE 322",80222,0001534154,authID Inc.,DENVER,CO,1624 MARKET ST. STE 226,UNIT 51767,80202-1559
5902,OVERLAND PARK,KS,6800 WEST 115TH STREET,SUITE 2511,66211,0001794783,"SelectQuote, Inc.",OVERLAND PARK,KS,6800 WEST 115TH STREET,SUITE 2511,66211
5903,TEL AVIV,L3,121 DERECH MENACHEM BEGIN,41ST FLOOR,6701203,0001842731,SIMILARWEB LTD.,TEL AVIV,L3,121 DERECH MENACHEM BEGIN,41ST FLOOR,6701203
5904,NEW YORK,NY,ONE VANDERBILT AVE STE 3400,,10017,0001725472,Carlyle Tactical Private Credit Fund,NEW YORK,NY,ONE VANDERBILT AVE STE 3400,,10017
5905,NEW YORK,NY,104 WEST 29TH STREET,11TH FLOOR,10001,0001376804,"VNUE, Inc.",NEW YORK,NY,104 WEST 29TH STREET,11TH FLOOR,10001
5906,HOUSTON,TX,11740 KATY FWY,"ENERGY TOWER III, 11TH FLOOR",77079,0000933738,ENGLOBAL CORP,HOUSTON,TX,11740 KATY FWY,SUITE 1100,77079
5907,DOWNERS GROVE,IL,3500 LACEY ROAD,SUITE 700,60515,0001383151,Invesco DB US Dollar Index Bullish Fund,DOWNERS GROVE,IL,3500 LACEY ROAD,SUITE 700,60515
5908,NEW YORK,NY,10 HUDSON YARDS,,10001,0001116132,"TAPESTRY, INC.",NEW YORK,NY,10 HUDSON YARDS,,10001
5909,HAMILTON,A6,270 LONGWOOD ROAD SOUTH,,L8P 0A6,0001805890,Fusion Pharmaceuticals Inc.,HAMILTON,A6,270 LONGWOOD ROAD SOUTH,,L8P 0A6
5910,JACKSONVILLE,FL,601 RIVERSIDE AVENUE,,32204,0001331875,"Fidelity National Financial, Inc.",JACKSONVILLE,FL,601 RIVERSIDE AVENUE,,32204
5911,SALT LAKE CITY,UT,1371 EAST 2100 SOUTH,SUITE 200,84105,0001372514,KIORA PHARMACEUTICALS INC,SALT LAKE CITY,UT,1371 EAST 2100 SOUTH,SUITE 200,84105
5912,BOZEMAN,MT,443 N. WILLSON AVE.,,59715,0001722837,BlueBay Destra International Event-Driven Credit Fund,BOZEMAN,MT,443 N. WILLSON AVE.,,59715
5913,LAS VEGAS,NV,6228 DARTLE STREET,,89130,0001300781,"DH ENCHANTMENT, INC.",LAS VEGAS,NV,6228 DARTLE STREET,,89130
5914,MIAMI,FL,2125 BISCAYNE BLVD,#309,33137,0001817004,EzFill Holdings Inc,MIAMI,FL,2125 BISCAYNE BLVD,#309,33137
5915,BOSTON,MA,C/O JOHN HANCOCK FUNDS,200 BERKELEY STREET,02116,0000759828,JOHN HANCOCK INVESTORS TRUST,BOSTON,MA,C/O JOHN HANCOCK FUNDS,200 BERKELEY STREET,02116
5916,LAS VEGAS,NV,6601 BERMUDA ROAD,,89119,0001760717,SciPlay Corp,LAS VEGAS,NV,6601 BERMUDA ROAD,,89119
5917,NORTH LIBERTY,IA,901 HEARTLAND WAY,,52317,0000799233,HEARTLAND EXPRESS INC,NORTH LIBERTY,IA,901 HEARTLAND WAY,,52317
5918,BRENTWOOD,TN,5501 VIRGINIA WAY,,37027,0001070985,"CoreCivic, Inc.",BRENTWOOD,TN,5501 VIRGINIA WAY,,37027
5919,NEW YORK,NY,655 MADISON AVENUE,19TH FLOOR,10065,0001731348,"Tilray Brands, Inc.",NEW YORK,NY,655 MADISON AVENUE,19TH FLOOR,10065
5920,BELLEVUE,WA,"10900 NE 4TH STREET, SUITE 2300",,98004,0001840425,Bellevue Life Sciences Acquisition Corp.,BELLEVUE,WA,"10900 NE 4TH STREET, SUITE 2300",,98004
5921,IRVINE,CA,"400 SPECTRUM CENTER DRIVE, SUITE 1900",,92618,0001799332,GAN Ltd,IRVINE,CA,"400 SPECTRUM CENTER DRIVE, SUITE 1900",,92618
5922,BIRMINGHAM,AL,600 N 18TH ST,P O BOX 2641,35291,0000003153,ALABAMA POWER CO,BIRMINGHAM,AL,600 N 18TH ST,,35291
5923,BURLINGTON,MA,53 SOUTH AVENUE,,01803,0001418135,Keurig Dr Pepper Inc.,BURLINGTON,MA,53 SOUTH AVENUE,,01803
5924,NEW YORK,NY,1115 BROADWAY,12TH FLOOR,10010,0001907223,Redwoods Acquisition Corp.,NEW YORK,NY,1115 BROADWAY,12TH FLOOR,10010
5925,SANTA CLARA,CA,"471 EL CAMINO REAL, SUITE 101",,95050,0001459839,"SI-BONE, Inc.",SANTA CLARA,CA,"471 EL CAMINO REAL, SUITE 101",,95050
5926,BLOOMFIELD HILLS,MI,2555 TELEGRAPH RD,,48302-0954,0001019849,"PENSKE AUTOMOTIVE GROUP, INC.",BLOOMFIELD HILLS,MI,2555 TELEGRAPH RD,,48302-0954
5927,San Francisco,CA,699 8TH STREET,SUITE 600,94103,0001388658,"iRhythm Technologies, Inc.",San Francisco,CA,699 8TH STREET,SUITE 600,94103
5928,MENLO PARK,CA,2550 SAND HILL ROAD,SUITE 150,94025,0001830232,Altimeter Growth Corp. 2,MENLO PARK,CA,2550 SAND HILL ROAD,SUITE 150,94025
5929,75008 PARIS FRANCE,I0,142 BD HAUSSMANN,,,0000899108,PERNOD RICARD S A /FI,75783 PARIS,I0,"12, PLACE DES ETATS UNIS",,00000
5930,NEW YORK,NY,120 PARK AVENUE,,10017,0001413329,Philip Morris International Inc.,NEW YORK,NY,120 PARK AVENUE,,10017
5931,NEWPORT COAST,CA,30 GONDOLIERS BLUFF,,92657,0001817511,SOCIETY PASS INCORPORATED.,NEWPORT COAST,CA,30 GONDOLIERS BLUFF,,92657
5932,,,,,,0001654595,"Medalist Diversified REIT, Inc.",RICHMOND,VA,1051 E. CARY STREET SUITE 601,JAMES CENTER THREE,23219
5933,BEDFORD,A5,"210 WATERFRONT DRIVE, SUITE 106",,B4A 0H3,0001495651,Ucore Rare Metals Inc.,BEDFORD,A5,"210 WATERFRONT DRIVE, SUITE 106",,B4A 0H3
5934,INDIANA,PA,800 PHILADELPHIA STREET,PO BOX 190,15701,0000719220,S&T BANCORP INC,INDIANA,PA,800 PHILADELPHIA STREET,PO BOX 190,15701
5935,MOON TOWNSHIP,PA,1305 CHERRINGTON PARKWAY,"BUILDING 210, SUITE 400",15108,0001437226,"Mastech Digital, Inc.",MOON TOWNSHIP,PA,1305 CHERRINGTON PARKWAY,"BUILDING 210, SUITE 400",15108
5936,SAN CARLOS,CA,"835 INDUSTRIAL ROAD,",SUITE 400,94070,0001532346,"Atreca, Inc.",SAN CARLOS,CA,"835 INDUSTRIAL ROAD,",SUITE 400,94070
5937,HOUSTON,TX,12121 WICKCHESTER LANE,SUITE 500,77079,0001690334,SEACOR Marine Holdings Inc.,HOUSTON,TX,12121 WICKCHESTER LANE,SUITE 500,77079
5938,"PARIS, FRANCE",I0,17 BOULEVARD HAUSSMANN,,75009,0001048515,GROUPE DANONE,"PARIS, FRANCE",I0,17 BOULEVARD HAUSSMANN,,75009
5939,RESTON,VA,11700 PLAZA AMERICA DR.,SUITE 500,20190,0000906163,NVR INC,RESTON,VA,11700 PLAZA AMERICA DR.,SUITE 500,20190
5940,KUNMING,F4,"NO.1, TIYUAN ROAD, XISHAN DISTRICT",,650228,0001786182,"First High-School Education Group Co., Ltd.",KUNMING,F4,"NO.1, TIYUAN ROAD, XISHAN DISTRICT",,650228
5941,BELLEVUE,WA,"110    110TH AVENUE NE, SUITE 300",,98004,0001054721,BSQUARE CORP /WA,BELLEVUE,WA,"110    110TH AVENUE NE, SUITE 300",,98004
5942,GRAND RAPIDS,MI,2801 EAST BELTLINE NE,,49525,0000912767,UFP INDUSTRIES INC,GRAND RAPIDS,MI,2801 EAST BELTLINE NE,,49505
5943,SOUTH SAN FRANCISCO,CA,"329 OYSTER POINT BLVD., 3RD FLOOR",,94080,0001623715,"Imago BioSciences, Inc.",SOUTH SAN FRANCISCO,CA,"329 OYSTER POINT BLVD., 3RD FLOOR",,94080
5944,NEW YORK,NY,"420 LEXINGTON AVENUE, SUITE 300",,10170,0001772028,Scopus BioPharma Inc.,NEW YORK,NY,"420 LEXINGTON AVENUE, SUITE 300",,10170
5945,SCOTTSDALE,AZ,5635 N. SCOTTSDALE ROAD,SUITE 130,85250,0001614466,Kibush Capital Corp,SCOTTSDALE,AZ,5635 N. SCOTTSDALE ROAD,SUITE 130,85250
5946,SAN DIEGO,CA,11055 FLINTKOTE AVENUE,,92121,0001213037,"Cardiff Oncology, Inc.",SAN DIEGO,CA,11055 FLINTKOTE AVENUE,,92121
5947,WILMETTE,IL,1000 SKOKIE BLVD SUITE 350,,60091,0001645469,Monopar Therapeutics,WILMETTE,IL,1000 SKOKIE BLVD SUITE 350,,60091
5948,TEMPE,AZ,1930 W. RIO SALADO PARKWAY,,85281,0001690820,CARVANA CO.,TEMPE,AZ,1930 W. RIO SALADO PARKWAY,,85281
5949,VANCOUVER,A1,605 - 1166 ALBERNI STREET,,V6E 3Z3,0001590875,NATURALLY SPLENDID ENTERPRISES LTD.,VANCOUVER,A1,605 - 1166 ALBERNI STREET,,V6E 3Z3
5950,BALL GROUND,GA,2200 AIRPORT INDUSTRIAL DRIVE,SUITE # 100,30107,0000892553,CHART INDUSTRIES INC,BALL GROUND,GA,2200 AIRPORT INDUSTRIAL DRIVE,SUITE # 100,30107
5951,FORT LAUDERDALE,FL,5059 N.E. 18TH AVENUE,,33334,0000012040,FLANIGANS ENTERPRISES INC,FORT LAUDERDALE,FL,5059 N.E. 18TH AVENUE,,33334
5952,LOS ANGELES,CA,117 WEST 9TH STREET SUITE 316,,90015,0000882800,"Pacific Ventures Group, Inc.",LOS ANGELES,CA,117 WEST 9TH STREET SUITE 316,,90015
5953,LEXINGTON,SC,5455 SUNSET BLVD,,29072,0000932781,FIRST COMMUNITY CORP /SC/,,,,,
5954,FORT LEE,NJ,"400 KELBY STREET, 12TH FLOOR",,07024,0001449792,"PIONEER POWER SOLUTIONS, INC.",FORT LEE,NJ,"400 KELBY STREET, 12TH FLOOR",,07024
5955,ROCHESTER,NY,343 STATE ST,,14650-0910,0000031235,EASTMAN KODAK CO,ROCHESTER,NY,343 STATE STREET,,14650
5956,TEL AVIV,L3,"3 HANECHOSHET STREET, BUILDING B",,6971068,0001618500,Medigus Ltd.,TEL AVIV,L3,"3 HANECHOSHET STREET, BUILDING B",,6971068
5957,GRAND CAYMAN,E9,27 HOSPITAL ROAD,GEORGETOWN,KY1-9008,0001840632,Apollo Strategic Growth Capital III,NEW YORK,NY,9 WEST 57TH STREET,43RD FLOOR,10019
5958,BATON ROUGE,LA,8000 INNOVATION PARK,"DR, BATON ROUGE",70820,0001362703,"THERALINK TECHNOLOGIES, INC.",BATON ROUGE,LA,8000 INNOVATION PARK,"DR, BATON ROUGE",70820
5959,ST LOUIS,MO,701 MARKET ST,,63101-1826,0001064728,PEABODY ENERGY CORP,ST LOUIS,MO,701 MARKET ST,,63101-1826
5960,NEW YORK,NY,ONE PENN PLAZA,,10119,0000714310,VALLEY NATIONAL BANCORP,NEW YORK,NY,ONE PENN PLAZA,,10119
5961,TAMPA,FL,2909 W BAY TO BAY BLVD STE 300,,33629,0001820160,SCP & CO Healthcare Acquisition Co,TAMPA,FL,2909 W BAY TO BAY BLVD STE 300,,33629
5962,LITTLE ROCK,AR,1600 CANTRELL RD,,72201,0000028917,"DILLARD'S, INC.",LITTLE ROCK,AR,1600 CANTRELL ROAD,,72201
5963,MINNEAPOLIS,MN,4400 WEST 78TH STREET,SUITE 520,55435,0000006845,"APOGEE ENTERPRISES, INC.",MINNEAPOLIS,MN,4400 WEST 78TH STREET,SUITE 520,55435
5964,AUSTIN,TX,"106 EAST 6TH STREET, SUITE 900-145",,78701,0001839341,"Core Scientific, Inc./tx",AUSTIN,TX,"106 EAST 6TH STREET, SUITE 900-145",,78701
5965,VISTA,CA,2685 S. MELROSE DRIVE,,92081,0001083743,"Flux Power Holdings, Inc.",VISTA,CA,2685 S. MELROSE DRIVE,,92081
5966,GURGAON,K7,"19TH FLOOR, BUILDING NO.5,","DLF CYBER CITY,",122002,0001495153,MakeMyTrip Ltd,GURGAON,K7,"19TH FLOOR, BUILDING NO.5,","DLF CYBER CITY,",122002
5967,NEW YORK,NY,667 MADISON AVENUE,5TH FLOOR,10065,0001850262,Integral Acquisition Corp 1,NEW YORK,NY,667 MADISON AVENUE,5TH FLOOR,10065
5968,NEW YORK,NY,300 PARK AVE,,10022,0000021665,COLGATE PALMOLIVE CO,NEW YORK,NY,300 PARK AVE,,10022
5969,FORT WOTH,TX,3880 HULEN STREET,,76107,0001335288,ReoStar Energy CORP,FORT WOTH,TX,3880 HULEN STREET,,76107
5970,SALT LAKE CITY,UT,2749 E. PARLEYS WAY,SUITE 200,84109,0001534969,"SERA PROGNOSTICS, INC.",SALT LAKE CITY,UT,2749 E. PARLEYS WAY,SUITE 200,84109
5971,KUALA LUMPUR,N8,"DUPLEX PENTHOUSE, UNIT 33A-6, UOA","BANGSAR TOWER, NO. 5, BANGSAR UTAMA 1 RD",59000,0001875655,AEI CapForce II Investment Corp,KUALA LUMPUR,N8,"DUPLEX PENTHOUSE, UNIT 33A-6, UOA","BANGSAR TOWER, NO. 5, BANGSAR UTAMA 1 RD",59000
5972,LAS VEGAS,NV,106 WEST MAYFLOWER,,89030,0001438901,"Auto Parts 4Less Group, Inc.",LAS VEGAS,NV,106 WEST MAYFLOWER,,89030
5973,NEW YORK,NY,110 EAST 59TH STREET,,10022,0001802768,Royalty Pharma plc,NEW YORK,NY,110 EAST 59TH STREET,,10022
5974,NEW YORK,NY,"221 CANAL ST., FL 6",,10013,0001819574,"Bark, Inc.",NEW YORK,NY,"221 CANAL ST., FL 6",,10013
5975,DENVER,CO,"100 FILLMORE STREET, SUITE 325",,80206,0001578987,ArrowMark Financial Corp.,DENVER,CO,"100 FILLMORE STREET, SUITE 325",,80206
5976,SAN FRANCISCO,CA,"501 SECOND STREET, SUITE 350",,94107,0001823465,5:01 Acquisition Corp.,SAN FRANCISCO,CA,"501 SECOND STREET, SUITE 350",,94107
5977,LONDON,X0,NOVA NORTH,"7 FLOOR, 11 BRESSENDEN PLACE",SW1E 5BY,0001859690,Arqit Quantum Inc.,LONDON,X0,NOVA NORTH,"7 FLOOR, 11 BRESSENDEN PLACE",SW1E 5BY
5978,BARRIE,A6,SUITE 220A,11 VICTORIA STREET,L4N 6T3,0001114898,Winning Brands Corp,BARRIE,A6,SUITE 220A,11 VICTORIA STREET,L4N 6T3
5979,GREENWICH,CT,48 MAPLE AVENUE,,06830,0001826667,MedTech Acquisition Corp,GREENWICH,CT,48 MAPLE AVENUE,,06830
5980,NEW YORK,NY,1178 BROADWAY,3RD FLOOR,10001,0001894210,Qomolangma Acquisition Corp.,NEW YORK,NY,1178 BROADWAY,3RD FLOOR,10001
5981,NEW TERRITORIES,K3,"CORNWALL CENTRE, NO.85 CASTLE PEAK ROAD","COFFEE BAY, TUEN MUN",00000,0000819926,SHARING ECONOMY INTERNATIONAL INC.,NEW TERRITORIES,K3,"CORNWALL CENTRE, NO.85 CASTLE PEAK ROAD","COFFEE BAY, TUEN MUN",00000
5982,CHICAGO,IL,C/O NUVEEN INVESTMENTS,333 W WACKER DRIVE,60606,0001074952,Nuveen California Quality Municipal Income Fund,CHICAGO,IL,C/O NUVEEN INVESTMENTS,333 W WACKER DRIVE,60606
5983,CEDAR HILL,TX,"610 UPTOWN BLVD., SUITE 2000",,75104,0001523486,"MOJO DATA SOLUTIONS, INC.",CEDAR HILL,TX,"610 UPTOWN BLVD., SUITE 2000",,75104
